date,name of team1,counts of team1,name of team2,counts of team2,positive percentage of team 1,negative percentage of team1,neutral percentage of team 1,positive percentage of team 2,negative percentage of team 2,neutral percentage of team 2,Result team 1,Result team 2 ,percentageofcounts_1,percentageofcounts_2,positive_1,negative_1,neutral_1,positive_2,negative_2,neutral_2,result
1129,Raptors,555,Warriors,393,50.990991%,6.306306%,42.702703%,10.178117%,52.671756%,50.990991%,131,128,0.585443038,-0.414556962,0.50990991,-0.06306306,0.42702703,-0.10178117,0.52671756,0.50990991,1
1129,Lakers,270,Pacers,76,18.148148%,16.666667%,65.185185%,10.526316%,75.000000%,18.148148%,104,96,0.780346821,-0.219653179,0.18148148,-0.16666667,0.65185185,-0.10526316,0.75,0.18148148,1
1129,Kings,236,Clippers,250,41.101695%,3.389831%,55.508475%,4.400000%,50.400000%,41.101695%,121,133,0.485596708,-0.514403292,0.41101695,-0.03389831,0.55508475,-0.044,0.504,0.41101695,0
1130,Celtics,196,Cavaliers,136,49.489796%,7.142857%,43.367347%,4.411765%,46.323529%,49.489796%,128,95,0.590361446,-0.409638554,0.49489796,-0.07142857,0.43367347,-0.04411765,0.46323529,0.49489796,1
1130,Pistons,147,Bulls,156,44.897959%,38.095238%,17.006803%,37.820513%,19.871795%,44.897959%,107,88,0.485148515,-0.514851485,0.44897959,-0.38095238,0.17006803,-0.37820513,0.19871795,0.44897959,1
1130,76ers,276,Wizards,195,48.550725%,36.956522%,14.492754%,35.897436%,25.641026%,48.550725%,123,98,0.585987261,-0.414012739,0.48550725,-0.36956522,0.14492754,-0.35897436,0.25641026,0.48550725,1
1130,Hornets,220,Jazz,308,33.636364%,24.545455%,41.818182%,38.311688%,35.064935%,33.636364%,111,119,0.416666667,-0.583333333,0.33636364,-0.24545455,0.41818182,-0.38311688,0.35064935,0.33636364,0
1130,Nets,316,Grizzlies,86,36.075949%,26.582278%,37.341772%,36.046512%,17.441860%,36.075949%,125,131,0.786069652,-0.213930348,0.36075949,-0.26582278,0.37341772,-0.36046512,0.1744186,0.36075949,0
1130,Thunder,104,Hawks,46,39.423077%,2.884615%,57.692308%,2.173913%,39.130435%,39.423077%,124,109,0.693333333,-0.306666667,0.39423077,-0.02884615,0.57692308,-0.02173913,0.39130435,0.39423077,1
1130,Heat,86,Pelicans,46,46.511628%,22.093023%,31.395349%,10.869565%,19.565217%,46.511628%,106,101,0.651515152,-0.348484848,0.46511628,-0.22093023,0.31395349,-0.10869565,0.19565217,0.46511628,1
1130,Spurs,317,Rockets,325,14.195584%,3.154574%,82.649842%,3.692308%,81.538462%,14.195584%,105,136,0.49376947,-0.50623053,0.14195584,-0.03154574,0.82649842,-0.03692308,0.81538462,0.14195584,0
1130,Suns,19,Magic,64,63.157895%,10.526316%,26.315789%,7.812500%,25.000000%,63.157895%,85,99,0.228915663,-0.771084337,0.63157895,-0.10526316,0.26315789,-0.078125,0.25,0.63157895,0
1130,Trail Blazers,0,Nuggets,32,0.000000%,0.000000%,0.000000%,6.250000%,62.500000%,0.000000%,112,113,0,-1,0,0,0,-0.0625,0.625,0,0
1130,Lakers,401,Mavericks,12,46.384040%,12.718204%,40.897756%,0.000000%,58.333333%,46.384040%,114,103,0.97094431,-0.02905569,0.4638404,-0.12718204,0.40897756,0,0.58333333,0.4638404,1
1201,Knicks,349,Bucks,237,46.418338%,12.320917%,41.260745%,12.658228%,36.286920%,46.418338%,136,134,0.59556314,-0.40443686,0.46418338,-0.12320917,0.41260745,-0.12658228,0.3628692,0.46418338,1
1201,Wizards,39,Nets,63,17.948718%,15.384615%,66.666667%,9.523810%,42.857143%,17.948718%,102,88,0.382352941,-0.617647059,0.17948718,-0.15384615,0.66666667,-0.0952381,0.42857143,0.17948718,1
1201,Pistons,66,Warriors,143,21.212121%,34.848485%,43.939394%,22.377622%,48.951049%,21.212121%,111,102,0.315789474,-0.684210526,0.21212121,-0.34848485,0.43939394,-0.22377622,0.48951049,0.21212121,1
1201,Timberwolves,79,Celtics,108,58.227848%,6.329114%,35.443038%,9.259259%,39.814815%,58.227848%,109,118,0.422459893,-0.577540107,0.58227848,-0.06329114,0.35443038,-0.09259259,0.39814815,0.58227848,0
1201,Rockets,118,Bulls,50,7.627119%,8.474576%,83.898305%,22.000000%,48.000000%,7.627119%,121,105,0.702380952,-0.297619048,0.07627119,-0.08474576,0.83898305,-0.22,0.48,0.07627119,1
1201,Cavaliers,24,Raptors,141,83.333333%,4.166667%,12.500000%,10.638298%,57.446809%,83.333333%,95,106,0.145454545,-0.854545455,0.83333333,-0.04166667,0.125,-0.10638298,0.57446809,0.83333333,0
1201,Kings,42,Pacers,22,47.619048%,11.904762%,40.476190%,18.181818%,45.454545%,47.619048%,111,110,0.65625,-0.34375,0.47619048,-0.11904762,0.4047619,-0.18181818,0.45454545,0.47619048,1
